rank_order,rank,name,scores_overall,scores_overall_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
433,401-500,University of Graz,0,433,53.3,374,29.3,667,68.9,186,16.3,536,24.9,471,Austria,"20,584",26.8,12%,65 : 35,University of Graz,"Chemistry,Sociology,Art, Performing Arts & Design,Other Health,Communication & Media Studies,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Archaeology,Education,Physics & Astronomy,Economics & Econometrics,Law,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Sport Science,Architecture,Computer Science,Psychology,Biological Sciences",False,False
434,401-500,Heriot-Watt University,0,434,36.4,517,45.6,269,90.1,46,22.4,395,23.4,524,United Kingdom,"8,775",17.7,43%,41 : 59,Heriot-Watt University,"Architecture,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Sport Science,Psychology,Business & Management,General Engineering,Languages, Literature & Linguistics,Biological Sciences,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Physics & Astronomy",False,False
435,401-500,Hokkaido University,0,435,29.3,582,53.7,203,27.9,616,32.8,231,40.3,159,Japan,"18,162",8.2,9%,29 : 71,Hokkaido University,"Accounting & Finance,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Veterinary Science,Art, Performing Arts & Design,Chemical Engineering,Sociology,Computer Science,Agriculture & Forestry,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Archaeology,Business & Management,Sport Science,Psychology,Architecture,Medicine & Dentistry,Law,Communication & Media Studies,Other Health,Mechanical & Aerospace Engineering,Geography,Languages, Literature & Linguistics,General Engineering,Chemistry",False,False
436,401-500,Howard University,0,436,44.5,453,0,782,30.3,589,11,693,38.8,181,United States,"10,297",6.8,5%,65 : 35,Howard University,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sport Science,Chemical Engineering,Civil Engineering,Psychology,Sociology,Other Health,Biological Sciences,General Engineering,Chemistry,Art, Performing Arts & Design,Computer Science,Law,Medicine & Dentistry,History, Philosophy & Theology,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Architecture,Business & Management,Mathematics & Statistics,Education",False,False
437,401-500,University of Hull,0,437,41.1,488,31.8,572,73.2,157,16.1,540,22.4,556,United Kingdom,"15,140",18.7,20%,52 : 48,University of Hull,"Medicine & Dentistry,Chemistry,Politics & International Studies (incl Development Studies),Education,Languages, Literature & Linguistics,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,General Engineering,Business & Management,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Biological Sciences,Communication & Media Studies,Physics & Astronomy,Chemical Engineering,Other Health,Sport Science,Sociology",False,False
438,401-500,University of Idaho,0,438,40.8,491,32.4,547,32,558,19.4,460,28.3,373,United States,"11,641",21.5,6%,47 : 53,University of Idaho,"Medicine & Dentistry,Veterinary Science,Art, Performing Arts & Design,General Engineering,Chemistry,Politics & International Studies (incl Development Studies),Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Sociology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Archaeology,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Law,Communication & Media Studies,Computer Science,Biological Sciences",False,False
439,401-500,Indian Institute of Technology Delhi,0,439,33.4,543,62.8,154,15.5,773,25.8,332,35.8,223,India,"8,371",17.3,1%,18 : 82,Indian Institute of Technology Delhi,"Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Computer Science,Communication & Media Studies,Civil Engineering,Chemistry,Business & Management,General Engineering,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False
440,401-500,Indian Institute of Technology Kharagpur,0,440,41.4,483,31.7,576,13.3,792,30.5,257,33.2,271,India,"9,928",17.5,0%,15 : 85,Indian Institute of Technology Kharagpur,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemistry,Law,Architecture,Electrical & Electronic Engineering,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Agriculture & Forestry,General Engineering,Chemical Engineering,Physics & Astronomy,Business & Management",False,False
441,401-500,Indian Institute of Technology Madras,0,441,31.4,561,88.9,60,16.1,758,20.7,437,34.6,245,India,"8,234",15.9,1%,19 : 81,Indian Institute of Technology Madras,"Mathematics & Statistics,Biological Sciences,Computer Science,Chemistry,Chemical Engineering,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Civil Engineering,Business & Management,Mechanical & Aerospace Engineering",False,False
442,401-500,University of Ioannina,0,442,56.4,352,32.9,532,36.9,495,17.7,500,14.5,789,Greece,"20,825",36.3,4%,58 : 42,University of Ioannina,"Languages, Literature & Linguistics,General Engineering,Medicine & Dentistry,Chemistry,Economics & Econometrics,Agriculture & Forestry,Art, Performing Arts & Design,Chemical Engineering,Physics & Astronomy,Architecture,Electrical & Electronic Engineering,Psychology,Archaeology,Business & Management,Biological Sciences,Other Health,History, Philosophy & Theology,Computer Science,Education,Mathematics & Statistics,Accounting & Finance",False,False
443,401-500,Iran University of Science and Technology,0,443,42.3,472,61.2,158,12.2,796,26,331,25.9,435,Iran,"10,311",23.9,0%,24 : 76,Iran University of Science and Technology,"Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Architecture,Chemistry,Computer Science,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Chemical Engineering,Physics & Astronomy",False,False
444,401-500,Johannes Kepler University of Linz,0,444,51.6,392,37.4,415,58.5,256,13.8,607,19.2,661,Austria,"19,646",29.1,10%,48 : 52,Johannes Kepler University of Linz,"Education,Law,Accounting & Finance,Chemical Engineering,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Psychology,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Computer Science,Mechanical & Aerospace Engineering,Economics & Econometrics,Biological Sciences,Medicine & Dentistry,Business & Management,Chemistry",False,False
445,401-500,University of Kaiserslautern,0,445,47.5,421,80.2,87,44.1,416,22.6,389,29.6,347,Germany,"14,184",54.4,14%,36 : 64,University of Kaiserslautern,"Chemistry,Civil Engineering,Biological Sciences,Business & Management,General Engineering,Physics & Astronomy,Chemical Engineering,Computer Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",False,False
446,401-500,Keele University,0,446,53,376,29.3,669,72.7,160,17.6,503,20,632,United Kingdom,"8,395",15.7,20%,55 : 45,Keele University,"Art, Performing Arts & Design,Business & Management,Communication & Media Studies,Chemistry,History, Philosophy & Theology,Accounting & Finance,Sport Science,Geography,Other Health,Mathematics & Statistics,Sociology,Veterinary Science,Economics & Econometrics,Languages, Literature & Linguistics,Law,Politics & International Studies (incl Development Studies),General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Medicine & Dentistry,Biological Sciences,Education,Physics & Astronomy",False,False
447,401-500,University of KwaZulu-Natal,0,447,41.5,481,38.2,393,58.6,255,25.7,338,20.3,619,South Africa,"30,572",24.9,6%,58 : 42,University of KwaZulu-Natal UKZN Kwazulu Natal Kwa zulu,"Computer Science,Agriculture & Forestry,Geography,Business & Management,Sport Science,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,Law,Sociology,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Communication & Media Studies,Other Health,Mechanical & Aerospace Engineering,Architecture,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Mathematics & Statistics,Education,Biological Sciences,Psychology",False,False
448,401-500,Kyung Hee University,0,448,39.2,501,89.4,58,46.4,388,27.6,305,26.1,424,South Korea,"24,356",17.4,14%,,Kyung Hee University KyungHee KHU,"Politics & International Studies (incl Development Studies),Sport Science,Business & Management,General Engineering,Mechanical & Aerospace Engineering,Other Health,Accounting & Finance,Physics & Astronomy,Sociology,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering,Chemistry,History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics,Computer Science,Geography,Agriculture & Forestry,Medicine & Dentistry,Economics & Econometrics,Art, Performing Arts & Design,Chemical Engineering,Law,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics",False,False
449,401-500,Kyushu University,0,449,31.8,556,83.2,73,26.4,631,27.5,306,36.5,215,Japan,"18,925",6.7,8%,28 : 72,Kyushu University,"Languages, Literature & Linguistics,General Engineering,Economics & Econometrics,Law,Sociology,Architecture,Medicine & Dentistry,Veterinary Science,Communication & Media Studies,Chemical Engineering,Psychology,Other Health,Sport Science,Geography,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Education,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Business & Management,Electrical & Electronic Engineering,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",False,False
450,401-500,Lehigh University,0,450,58.2,342,38.9,382,36,508,15,572,23.9,506,United States,"6,300",11.3,15%,44 : 56,Lehigh University,"Art, Performing Arts & Design,Accounting & Finance,Economics & Econometrics,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Education,Psychology,Languages, Literature & Linguistics,Communication & Media Studies,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Chemical Engineering,Mechanical & Aerospace Engineering,Architecture,History, Philosophy & Theology,Other Health,General Engineering,Computer Science,Business & Management,Mathematics & Statistics",False,False
451,401-500,Louisiana State University,0,451,37.8,509,0,785,26.1,634,27.7,302,26.8,406,United States,"28,116",20.1,5%,52 : 48,Louisiana State University,"Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Sociology,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Architecture,Economics & Econometrics,Chemistry,Other Health,Education,Languages, Literature & Linguistics,Geography,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Psychology,Law,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering",False,False
452,401-500,University of Macau,0,452,49.7,405,34.9,472,98.4,6,17,522,18.5,689,Macao,"8,521",14.9,31%,58 : 42,University of Macau,"Art, Performing Arts & Design,Law,Politics & International Studies (incl Development Studies),Biological Sciences,Civil Engineering,Computer Science,Psychology,Economics & Econometrics,Communication & Media Studies,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Languages, Literature & Linguistics,History, Philosophy & Theology,Education,Mathematics & Statistics,Medicine & Dentistry,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sociology,Accounting & Finance",False,False
453,401-500,Marche Polytechnic University,0,453,80.2,156,28,752,27.3,623,11,694,15.2,785,Italy,"16,589",23.0,4%,45 : 55,Marche Polytechnic University,"Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Architecture,Computer Science,Other Health,Biological Sciences,Accounting & Finance,Agriculture & Forestry",False,False
454,401-500,"University of Maryland, Baltimore County",0,454,61.3,321,31.7,578,28.2,612,18.2,490,21.3,589,United States,"13,908",18.1,7%,46 : 54,"University of Maryland, Baltimore County","Sociology,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Geography,General Engineering,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Chemistry,Computer Science,Communication & Media Studies,Other Health,Accounting & Finance,Business & Management,Education,Mathematics & Statistics,Chemical Engineering",False,False
455,401-500,Murdoch University,0,455,51.2,395,36.5,438,88.3,61,19.6,456,18.7,681,Australia,"16,606",32.8,43%,59 : 41,Murdoch University Murdoch,"Economics & Econometrics,Law,Biological Sciences,Education,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Chemical Engineering,Chemistry,Sociology,Other Health,Sport Science,Art, Performing Arts & Design,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Mathematics & Statistics,Business & Management,Veterinary Science,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry",False,False
456,401-500,Nantes Université,0,456,69.4,242,0,788,35.1,519,12.2,647,19.6,641,France,"33,866",22.2,11%,56 : 44,Nantes Université,"History, Philosophy & Theology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Chemistry,Sociology,Art, Performing Arts & Design,Medicine & Dentistry,Archaeology,Education,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Chemical Engineering,Law,Economics & Econometrics,General Engineering,Geography,Civil Engineering,Psychology,Communication & Media Studies,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management",False,False
457,401-500,National and Kapodistrian University of Athens,0,457,45.8,437,0,789,39,470,16.3,538,26.7,409,Greece,"63,052",32.3,9%,61 : 39,National and Kapodistrian University of Athens,"Computer Science,Law,Economics & Econometrics,Veterinary Science,Physics & Astronomy,Medicine & Dentistry,Electrical & Electronic Engineering,Chemistry,Archaeology,Education,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Agriculture & Forestry,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Architecture,Other Health,Sport Science,Geography,Business & Management,General Engineering,Communication & Media Studies",False,False
458,401-500,National Autonomous University of Mexico,0,458,14.8,728,63.7,146,35.9,509,40.2,164,42.7,137,Mexico,"137,378",11.6,5%,51 : 49,National Autonomous University of Mexico,"Accounting & Finance,Law,Geography,History, Philosophy & Theology,Electrical & Electronic Engineering,Veterinary Science,Education,Physics & Astronomy,Medicine & Dentistry,Biological Sciences,Mathematics & Statistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Chemical Engineering,Communication & Media Studies,Art, Performing Arts & Design,Other Health,Mechanical & Aerospace Engineering,Sociology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Business & Management,Agriculture & Forestry,Psychology",False,False
459,401-500,National Cheng Kung University (NCKU),0,459,27.2,602,100,11,27.7,617,40.2,165,29.8,342,Taiwan,"21,234",14.4,11%,36 : 64,National Cheng Kung University (NCKU),"Architecture,Business & Management,Law,Politics & International Studies (incl Development Studies),Archaeology,Education,Biological Sciences,Accounting & Finance,Chemistry,Economics & Econometrics,Agriculture & Forestry,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Computer Science,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,General Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sport Science",False,False
460,401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),0,460,41.8,478,40.3,358,63.6,221,10.6,711,27,402,France,"6,137",8.2,31%,31 : 69,National Institute of Applied Sciences of Lyon (INSA Lyon),"Electrical & Electronic Engineering,Computer Science,Civil Engineering,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering",False,False
461,401-500,National Yang-Ming University,0,461,33.3,544,30.2,641,15.8,764,18.5,480,41.5,148,Taiwan,"4,496",5.4,2%,48 : 52,National Yang-Ming University,"History, Philosophy & Theology,General Engineering,Biological Sciences,Medicine & Dentistry,Sociology,Other Health,Art, Performing Arts & Design",False,False
462,401-500,University of Neuchâtel,0,462,48.2,418,0,790,91.4,38,14.7,589,24.2,498,Switzerland,"4,358",8.5,22%,59 : 41,University of Neuchâtel,"Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Law,Sociology,Physics & Astronomy,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geography,History, Philosophy & Theology,Archaeology,Communication & Media Studies,Computer Science,Languages, Literature & Linguistics,Sport Science,Accounting & Finance,Psychology",False,False
463,401-500,NOVA University of Lisbon,0,463,38.3,508,41.3,342,44.5,411,21.9,410,26.9,404,Portugal,"18,867",17.9,7%,49 : 51,NOVA University of Lisbon,"Law,Other Health,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Languages, Literature & Linguistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Geography,Computer Science,Economics & Econometrics,Accounting & Finance,Agriculture & Forestry,Education,History, Philosophy & Theology,Archaeology,Business & Management,Physics & Astronomy,Electrical & Electronic Engineering,General Engineering,Mathematics & Statistics,Biological Sciences,Communication & Media Studies,Chemical Engineering,Sociology",False,False
464,401-500,University of Nice Sophia Antipolis,0,464,53.7,369,28.5,720,79.5,116,16.1,542,21.4,586,France,"27,304",20.3,22%,56 : 44,University of Nice Sophia Antipolis,"Art, Performing Arts & Design,Business & Management,Chemistry,Economics & Econometrics,Education,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Law,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science",False,False
465,401-500,Novosibirsk State University,0,465,26.2,609,38.2,394,32.4,556,30.8,254,41.4,149,Russian Federation,"7,131",7.1,13%,52 : 48,Novosibirsk State University,"Languages, Literature & Linguistics,General Engineering,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Education,Mathematics & Statistics,Chemical Engineering,Psychology,History, Philosophy & Theology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Economics & Econometrics,Agriculture & Forestry,Business & Management,Biological Sciences,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Law,Other Health,Communication & Media Studies",False,False
466,401-500,The Open University,0,466,60.3,325,28.4,729,51.5,328,13.8,609,21,602,United Kingdom,"76,685",35.9,9%,61 : 39,The Open University,"Biological Sciences,Sport Science,Art, Performing Arts & Design,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Chemistry,Accounting & Finance,Economics & Econometrics,Physics & Astronomy,Agriculture & Forestry,Computer Science,Mathematics & Statistics,Other Health,Psychology,Education,Sociology,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
467,401-500,Oxford Brookes University,0,467,42.7,467,28.4,727,68.9,187,18.8,475,25.7,443,United Kingdom,"14,240",18.5,25%,57 : 43,Oxford Brookes University,"Other Health,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Education,Art, Performing Arts & Design,Geography,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,History, Philosophy & Theology,Communication & Media Studies,Architecture,Law,Psychology,Computer Science,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Sport Science",False,False
468,401-500,University of Palermo,0,468,77.4,178,28,755,23.6,660,9.1,753,15.3,783,Italy,"43,875",22.4,1%,60 : 40,University of Palermo,"Languages, Literature & Linguistics,Biological Sciences,Psychology,Architecture,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Other Health,Electrical & Electronic Engineering,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Business & Management,Agriculture & Forestry,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Archaeology,Computer Science,Chemistry",False,False
469,401-500,University of Parma,0,469,56.4,353,37.1,420,36.8,497,16.6,531,17.7,732,Italy,"26,937",29.1,7%,56 : 44,University of Parma,"Accounting & Finance,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Architecture,Business & Management,Chemistry,History, Philosophy & Theology,Sport Science,Languages, Literature & Linguistics,Veterinary Science,Other Health,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Mathematics & Statistics,Education,Computer Science,General Engineering,Physics & Astronomy",False,False
470,401-500,University of Pisa,0,470,64.5,291,31.4,592,31.1,573,18.9,472,21.6,577,Italy,"47,247",18.0,3%,52 : 48,University of Pisa,"Chemistry,General Engineering,Other Health,Archaeology,Civil Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Art, Performing Arts & Design,Veterinary Science,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Medicine & Dentistry,Psychology,Chemical Engineering,Business & Management,Biological Sciences,Law,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Education,Physics & Astronomy,Economics & Econometrics,Sociology,Agriculture & Forestry",False,False
471,401-500,Universitat Politècnica de Catalunya,0,471,44.7,448,40.9,349,63.9,216,14.8,582,25.2,461,Spain,"22,893",11.7,28%,12 : 88,Universitat Politècnica de Catalunya,"Electrical & Electronic Engineering,Other Health,Chemical Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Architecture,Agriculture & Forestry,Civil Engineering,Mathematics & Statistics,Computer Science",False,False
472,401-500,Pontificia Universidad Católica de Chile,0,472,37,513,28,757,52.4,322,21.3,422,28.2,376,Chile,"25,075",15.3,7%,,Pontificia Universidad Católica de Chile,"Sociology,Geography,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,History, Philosophy & Theology,Education,Veterinary Science,Business & Management,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Other Health,Chemistry,Languages, Literature & Linguistics,Computer Science,Law,Architecture,Civil Engineering,Archaeology,General Engineering,Sport Science,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",False,False
473,401-500,University of Porto,0,473,37.2,512,38.7,387,45.4,404,28.2,292,32,295,Portugal,"32,720",18.8,9%,54 : 46,University of Porto,"Sociology,Computer Science,Agriculture & Forestry,Chemical Engineering,Medicine & Dentistry,Veterinary Science,Economics & Econometrics,Sport Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Civil Engineering,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Geography,Architecture,Chemistry,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Business & Management,Art, Performing Arts & Design,Biological Sciences,Other Health,History, Philosophy & Theology,Communication & Media Studies,Law,Archaeology,Education",False,False
474,401-500,University of Portsmouth,0,474,58.2,343,28.9,690,79.3,117,10.9,699,17.2,748,United Kingdom,"20,160",19.1,23%,45 : 55,University of Portsmouth,"Politics & International Studies (incl Development Studies),Law,Psychology,Languages, Literature & Linguistics,Computer Science,Communication & Media Studies,Physics & Astronomy,Economics & Econometrics,Geography,Sport Science,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Business & Management,General Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Biological Sciences,Chemical Engineering,Sociology,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,Architecture,Education,Mechanical & Aerospace Engineering",False,False
475,401-500,RMIT University,0,475,44.6,452,37,423,82.1,97,17.7,501,24.7,481,Australia,"29,501",18.1,24%,47 : 53,RMIT University RMIT Australia Melbourne,"Education,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Law,Architecture,Computer Science,Sport Science,Geography,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,General Engineering,Mathematics & Statistics,Civil Engineering,Veterinary Science,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Biological Sciences,Sociology",False,False
476,401-500,University of Rome II – Tor Vergata,0,476,64.5,292,34.7,479,36.5,504,17.2,517,23.5,522,Italy,"33,504",26.5,6%,52 : 48,University of Rome II – Tor Vergata,"Accounting & Finance,Mathematics & Statistics,Medicine & Dentistry,Economics & Econometrics,General Engineering,History, Philosophy & Theology,Biological Sciences,Languages, Literature & Linguistics,Law,Business & Management,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering",False,False
477,401-500,Rovira i Virgili University,0,477,66.9,263,30.9,614,41.5,441,14.8,583,20.8,605,Spain,"12,533",12.8,9%,61 : 39,Rovira i Virgili University,"Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Communication & Media Studies,Chemistry,Psychology,History, Philosophy & Theology,Other Health,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Mechanical & Aerospace Engineering,Computer Science,Architecture,Physics & Astronomy,Education,Sport Science,Mathematics & Statistics,Archaeology,Electrical & Electronic Engineering,Chemical Engineering,Biological Sciences,Geography,Business & Management,Law",False,False
478,401-500,Saint Petersburg State University,0,478,14.5,732,29.5,662,33,546,31.4,249,47.9,101,Russian Federation,"20,836",5.2,7%,60 : 40,Saint Petersburg State University,"Law,Chemical Engineering,History, Philosophy & Theology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Sociology,Computer Science,Chemistry,Physics & Astronomy,Geography,Languages, Literature & Linguistics,Sport Science,Psychology,Art, Performing Arts & Design,Business & Management,Biological Sciences,Mathematics & Statistics,Communication & Media Studies,General Engineering",False,False
